code	unitType	jobType	level	attack	defense	hp	speed	range
604	PLAYER	KNIGHT	4	3	0	15	3	1
605	PLAYER	KNIGHT	5	3	0	15	3	1
606	PLAYER	KNIGHT	6	3	0	20	3	1
607	PLAYER	KNIGHT	7	4	0	20	3	1
608	PLAYER	KNIGHT	8	4	0	20	3	1
609	PLAYER	KNIGHT	9	4	0	20	3	1

1001	ENEMY	WARRIOR	1	1	0	5	3	1
1002	ENEMY	WARRIOR	2	2	0	5	3	1
1003	ENEMY	WARRIOR	3	2	0	10	3	1
1004	ENEMY	WARRIOR	4	3	0	15	3	1
1005	ENEMY	WARRIOR	5	3	0	15	3	1
1006	ENEMY	WARRIOR	6	3	0	20	3	1
1007	ENEMY	WARRIOR	7	4	0	20	3	1
1008	ENEMY	WARRIOR	8	4	0	20	3	1
1009	ENEMY	WARRIOR	9	4	0	20	3	1
1101	ENEMY	HEALER	1	1	0	5	3	1
1102	ENEMY	HEALER	2	2	0	5	3	1
1103	ENEMY	HEALER	3	2	0	10	3	1
1104	ENEMY	HEALER	4	3	0	15	3	1
1105	ENEMY	HEALER	5	3	0	15	3	1
1106	ENEMY	HEALER	6	3	0	20	3	1
1107	ENEMY	HEALER	7	4	0	20	3	1
1108	ENEMY	HEALER	8	4	0	20	3	1
1109	ENEMY	HEALER	9	4	0	20	3	1
1201	ENEMY	TANKER	1	1	0	5	3	1
1202	ENEMY	TANKER	2	2	0	5	3	1
1203	ENEMY	TANKER	3	2	0	10	3	1
1204	ENEMY	TANKER	4	3	0	15	3	1
1205	ENEMY	TANKER	5	3	0	15	3	1
1206	ENEMY	TANKER	6	3	0	20	3	1
1207	ENEMY	TANKER	7	4	0	20	3	1
1208	ENEMY	TANKER	8	4	0	20	3	1
1209	ENEMY	TANKER	9	4	0	20	3	1
1301	ENEMY	ARCHER	1	1	0	5	3	1
1302	ENEMY	ARCHER	2	2	0	5	3	1
1303	ENEMY	ARCHER	3	2	0	10	3	1
1304	ENEMY	ARCHER	4	3	0	15	3	1
1305	ENEMY	ARCHER	5	3	0	15	3	1
1306	ENEMY	ARCHER	6	3	0	20	3	1
1307	ENEMY	ARCHER	7	4	0	20	3	1
1308	ENEMY	ARCHER	8	4	0	20	3	1
1309	ENEMY	ARCHER	9	4	0	20	3	1
1401	ENEMY	MAGICIAN	1	1	0	5	3	1
1402	ENEMY	MAGICIAN	2	2	0	5	3	1
1403	ENEMY	MAGICIAN	3	2	0	10	3	1
1404	ENEMY	MAGICIAN	4	3	0	15	3	1
1405	ENEMY	MAGICIAN	5	3	0	15	3	1
1406	ENEMY	MAGICIAN	6	3	0	20	3	1
1407	ENEMY	MAGICIAN	7	4	0	20	3	1
1408	ENEMY	MAGICIAN	8	4	0	20	3	1
1409	ENEMY	MAGICIAN	9	4	0	20	3	1
1501	ENEMY	KNIGHT	1	1	0	5	3	1
1502	ENEMY	KNIGHT	2	2	0	5	3	1
1503	ENEMY	KNIGHT	3	2	0	10	3	1
1504	ENEMY	KNIGHT	4	3	0	15	3	1
1505	ENEMY	KNIGHT	5	3	0	15	3	1
1506	ENEMY	KNIGHT	6	3	0	20	3	1
1507	ENEMY	KNIGHT	7	4	0	20	3	1
1508	ENEMY	KNIGHT	8	4	0	20	3	1
1509	ENEMY	KNIGHT	9	4	0	20	3	1
